id,S2CellId
180,0d11400000000000
181,0d11c00000000000
182,0d12100000000000
183,0d12300000000000
184,0d12500000000000
185,0d12640000000000
186,0d12690000000000
187,0d126b0000000000
188,0d126c0400000000
189,0d126c0c00000000
190,0d126c1400000000
191,0d126c1c00000000
192,0d126c3000000000
193,0d126c5000000000
194,0d126c7000000000
195,0d126cc000000000
196,0d126d4000000000
197,0d126dc000000000
198,0d126f0000000000
199,0d12740000000000
200,0d127c0000000000
201,0d12c00000000000
202,0d13400000000000
203,0d13c00000000000
204,0d14400000000000
205,0d14c00000000000
206,0d15400000000000
207,0d15c00000000000
208,0d17000000000000
209,0d18400000000000
210,0d18c00000000000
211,0d19100000000000
212,0d19240000000000
213,0d192c0000000000
214,0d19310000000000
215,0d19324000000000
216,0d1932c000000000
217,0d19331000000000
218,0d19333000000000
219,0d19335000000000
220,0d19337000000000
221,0d1933c000000000
222,0d19341000000000
223,0d19347400000000
224,0d19347c00000000
225,0d1934c000000000
226,0d19354000000000
227,0d1935c000000000
228,0d19370000000000
229,0d193c0000000000
230,0d19500000000000
231,0d19700000000000
232,0d19c00000000000
233,0d1a100000000000
234,0d1a300000000000
235,0d1a500000000000
236,0d1a730000000000
237,0d1a750000000000
238,0d1ac00000000000
239,0d1b400000000000
240,0d1bc00000000000
241,0d1eb00000000000
242,0d1ec40000000000
243,0d1ec90000000000
244,0d1ecb0000000000
245,0d1ecd0000000000
246,0d1ecf0000000000
247,0d1ed40000000000
248,0d1edc0000000000
249,0d1f400000000000
250,0d22400000000000
251,0d22c00000000000
252,0d23400000000000
253,0d23c00000000000
254,0d24500000000000
255,0d24610000000000
256,0d24630000000000
257,0d24644000000000
258,0d24649000000000
259,0d2464d000000000
260,0d2464e400000000
261,0d2464ec00000000
262,0d2464f400000000
263,0d2464fc00000000
264,0d24654000000000
265,0d2465c000000000
266,0d24670000000000
267,0d246c0000000000
268,0d24740000000000
269,0d247c0000000000
270,0d24c00000000000
271,0d25400000000000
272,0d25900000000000
273,0d25b00000000000
274,0d25d00000000000
275,0d25f00000000000
276,0d29000000000000
277,0d2d000000000000
278,0d2e100000000000
279,0d2e300000000000
